id,gender,age,time,score,penalty,status,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname,member4country,member4firstname,member4lastname
154,men,veteran,20:33:42,203,0,finished,EST,Heiki,Savitsch,EST,Silvar,Savolainen,,,,,,
139,men,veteran,23:32:14,200,0,finished,FIN,Janne,Kesälä,FIN,Vesa,Laine,,,,,,
380,mixed,ultraveteran,23:00:35,199,0,finished,UKR,Ivan,Tumak,UKR,Tetiana,Hutsalenko,,,,,,
124,men,junior,23:15:22,197,0,finished,EST,Renno,Merenäkk,EST,Otto,Pluum,,,,,,
109,men,open,23:16:58,197,0,finished,EST,Maksim,Ovtsinnikov,EST,Erko,Kurvits,,,,,,
178,men,superveteran,23:32:38,193,0,finished,LAT,Aldis,Razgaila,LAT,Peteris,Zarins,,,,,,
209,women,open,23:43:34,193,0,finished,FIN,Malla,Muhonen,FIN,Mia,Muhonen,,,,,,
157,men,veteran,23:40:23,187,0,finished,EST,Raul,Sankovski,EST,Ivar,Lai,,,,,,
143,men,veteran,23:41:25,187,0,finished,GER,Marc,Cortada Laeske,ESP,Edgar,Aguilera Viladomiu,,,,,,
233,women,veteran,23:41:59,187,0,finished,LAT,Gunta,Bluzma,LAT,Laura,Mazmaca,,,,,,
230,women,veteran,23:08:37,186,0,finished,LAT,Santa,Bluma,LAT,Lasma,Šlosberga,,,,,,
225,women,veteran,23:33:39,185,0,finished,EST,Anneli,Aas,EST,Kai,Treier,,,,,,
363,mixed,superveteran,23:26:03,184,0,finished,CZE,Michal,Klapka,CZE,Milada,Klapkova,,,,,,
164,men,veteran,22:43:54,183,0,finished,LAT,Maris,Avotinš,LAT,Ainars,Cirulis,,,,,,
232,women,veteran,22:02:30,180,0,finished,EST,Mari,Punab,EST,Made,Vares,,,,,,
241,women,veteran,23:32:43,180,0,finished,LAT,Vita,Zukovska,LAT,Jana,Adata,LAT,Nora,Baranovska,,,
375,mixed,superveteran,23:26:54,179,0,finished,EST,Rain,Vellerind,EST,Ulvi,Lond,,,,,,
131,men,veteran,23:28:16,179,0,finished,UKR,Serhii,Tarasenko,UKR,Igor,Kuzmin,,,,,,
303,mixed,open,23:49:48,179,0,finished,LAT,Edgars,Rancans,LAT,Aija,Svikle,,,,,,
238,women,veteran,23:15:53,177,0,finished,LAT,Vija,Elstina,LAT,Laura,Bušunova,,,,,,
248,women,superveteran,22:49:04,176,0,finished,LAT,Sarmite,Vlodare,LAT,Dace,Saulite,,,,,,
111,men,open,9:56:26,175,0,finished,EST,Siim,Klais,EST,Märt,Roosaare,,,,,,
251,women,superveteran,22:43:02,175,0,finished,EST,Tiina,Kartau,EST,Esta,Tamm,,,,,,
246,women,superveteran,23:44:22,175,0,finished,EST,Rita,Ojala,EST,Elina,Lasseron,,,,,,
142,men,veteran,21:54:14,174,0,finished,FIN,Mika,Virtanen,FIN,Matti,Kallio,,,,,,
188,men,ultraveteran,23:44:49,174,0,finished,EST,Peep,Eomois,EST,Jüri,Rokko,,,,,,
307,mixed,open,23:33:36,173,0,finished,HUN,Dorottya,Hajnal,AUS,Rory,Taylor,,,,,,
374,mixed,superveteran,22:32:25,172,0,finished,FIN,Päivi,Kärkkäinen,EST,Einar,Luup,,,,,,
202,women,open,23:44:00,171,0,finished,FIN,Elina,Jokela,FIN,Lotta,Laitamäki,,,,,,
208,women,open,23:45:41,170,0,finished,UKR,Aliona,Nigda,UKR,Marta,Kobeniuk,,,,,,
216,women,open,15:43:07,168,0,finished,FIN,Essi,Kostiainen,FIN,Kaisa,Kurvinen,,,,,,
