id;name;gender;age;member1lastname;member1firstname;member1country;member2lastname;member2firstname;member2country;member3lastname;member3firstname;member3country;member4lastname;member4firstname;member4country;member5lastname;member5firstname;member5country;time;original_score;penalty;score;status
402;FLUVIAL LUGO-VETERANOS;men;superveteran;Parga And�n;Pedro;ESP;Rodr�guez N�?ez;Eugenio;ESP;;;;;;;;;;23:29:16;850;0;850;
326;EhEh;women;veteran;Lehtoja;Eha;EST;Taevere;Ehtel;EST;;;;;;;;;;23:20:52;840;0;840;
333;4L;mixed;veteran;Leppik;Lea;EST;Leppik;Lauri;EST;;;;;;;;;;10:51:37;830;0;830;
363;VV;mixed;veteran;Veksler;Yulia;RUS;Voronchikhin;Vladimir;RUS;;;;;;;;;;22:55:51;830;0;830;
117;FARRA-O/UE VIC;men;open;SALATDOR COSTA;CARLES;ESP;Santoyo Medina;Ferran;ESP;;;;;;;;;;22:40:10;820;0;820;
187;Gudariak;mixed;open;de Campo Jimenez;Daniel;ESP;Larrea Idiazabal;Ainara;ESP;;;;;;;;;;23:20:55;810;0;810;
304;Devil Hill Trolls;men;veteran;T�rmikoski;Kai;FIN;Vuorenpaa;Asmo;FIN;;;;;;;;;;8:45:58;800;0;800;
112;CODI AITE2;men;open;Garcia Morales;Jose Luis;ESP;Miralles Fabregues;Jaume;ESP;;;;;;;;;;23:38:17;800;0;800;
335;Basajaun 2 COBi;mixed;veteran;LARRA?AGA KORTABARRIA;IDOIA;ESP;Juli�n Calvo;Alfonso M.;ESP;Pikaza D�az de Lezana;Amaia;ESP;;;;;;;23:47:50;740;0;740;
500;Avant;men;ultraveteran;Emelianov;Evgenii;RUS;Lisenenkov;Aleksandr;RUS;;;;;;;;;;23:23:23;730;0;730;
417;Danskerne;mixed;superveteran;Hansen;Lene;DEN;Munck;Svend-Erik;DEN;Scheye;Frede;DEN;;;;;;;22:46:33;690;0;690;
302;Bingo;men;veteran;Plakans;Andis;LAT;Zogla;Evalds;LAT;;;;;;;;;;20:59:59;580;0;580;
119;FLUVIAL LUGO-ARDE LUCUS;men;open;Fern�ndez Mart�nez;Carlos;ESP;Lamas Ant�n;Francisco Jos�;ESP;;;;;;;;;;9:23:19;540;0;540;
166;Lakka;women;open;Lisenenkova;Anna;RUS;Uspenskaia;Elizaveta;RUS;;;;;;;;;;21:00:32;450;0;450;
181;ELEVIC;mixed;open;Cubillos Aus�n;Elena;ESP;RUBIO PEREZ;VICTOR;ESP;;;;;;;;;;23:37:31;360;0;360;
422;NADA + WADA;mixed;superveteran;Kretzschmar;Frank;GER;Kretzschmar;Ute;GER;;;;;;;;;;22:21:23;310;0;310;
362;VG;mixed;veteran;Talts;Viire;EST;Trees;Guido;EST;;;;;;;;;;23:10:44;250;0;250;
123;GOCAN RMK;men;open;Albarr�n Esteban;Carlos;ESP;P�rez P�rez;Rub�n;ESP;;;;;;;;;;24:03:16;2050;50;2000;disqualified
204;A Girl with paddle and 2 French surfers;mixed;open;BOSSEAUX;Christophe;FRA;CHARBONNIER;Olivier;FRA;Tsukhlo;Tatiana;RUS;;;;;;;23:38:47;1020;0;1020;disqualified
415;BROS;mixed;superveteran;Dayon;Pierre;FRA;Terrillon;Marie Th�r?se;FRA;;;;;;;;;;21:20:13;760;0;760;disqualified
173;Absoluraid;mixed;open;Charron;Stephan;FRA;Regereau;Nicolas;FRA;Sagot;Marianne;FRA;Weber;Sebastien;FRA;;;;22:41:49;380;0;380;disqualified
