id,name,score,time,penalty,status,age,gender,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname
339,Vikingi,123,22:58:49,0,,open,mixed,LAT,Guna,Martinsone,LAT,Jānis,Uzulēns,,,
340,Southern Stragglers,122,22:38:38,0,,superveteran,men,NZL,Vincent,Pooch,NZL,Peter,Jackson,,,
341,Divi Auni,121,9:42:26,0,,open,mixed,EST,Tõnis,Piirisild,EST,Inga,Siegert,,,
342,Dream time,121,22:52:25,0,,veteran,mixed,LAT,Dace,Zbitkovska,LAT,Aija,Dēliņa,LAT,Kārlis,Paukšs
343,RIJS,120,23:07:01,0,,ultraveteran,men,LAT,Jānis,Skrūzmanis,LAT,Ilmārs,Rieksts,,,
344,Piedzīvojumu meklējot,119,22:37:34,0,,veteran,women,LAT,Vita,Žukovska,LAT,Jana,Adata,LAT,Dina,Alksne
345,Trankatos,117,23:29:00,0,,veteran,mixed,LTU,Dainora,Samcenkiene,LTU,Liuda,Griciene,LTU,Algimantas,Plaipa
346,Big Brothers,116,20:19:29,0,,open,men,RUS,Alex,Minakov,RUS,Aleksander,Gorbachev,,,
347,Koksinels,116,23:08:34,0,,open,women,LAT,Agita,Sprude,LAT,Baiba,Zale,,,
348,Smart ants,115,23:15:40,0,,superveteran,women,LAT,Baiba,Kaļva,LAT,Agrita,Pilābere,,,
349,encompass.tv,114,23:15:49,0,,open,mixed,LAT,Roberts,Melbārdis,LAT,Evija,Rozīte,LAT,Baiba,Koka
350,Hooponopono,114,23:21:44,0,,veteran,mixed,LAT,Jānis,Pelēķis,LAT,Ilze,Kārkliņa,,,
351,KRITIŅBANDA,113,13:33:44,0,,open,mixed,LAT,Vladimirs,Seļms,LAT,Nils,Johansons,LAT,Vineta,Johansone
352,Resnie putni,112,17:00:20,0,,open,men,LAT,Madars,Bandenovičs,LAT,Sondars,Bandenovičs,,,
353,Steph & Eija,112,19:44:57,0,,open,women,NZL,Stephanie,Farrant,LAT,Linda,Eglite,,,
354,Metku,111,22:50:51,0,,open,men,FIN,Antti,Myllys,FIN,Mika,Vihervuori,FIN,Lauri,Launonen
355,Novaator RSK,110,18:45:45,0,,veteran,men,EST,Matis,Märtson,EST,Villu,Päärt,,,
356,Team 30+,109,10:51:46,0,,open,men,EST,Arno,Bachaus,EST,Aivo,Jõemets,,,
357,TAKA 2017,108,21:23:49,0,,ultraveteran,men,LAT,Arnolds,Kučinskis,LAT,Andris,Tauvens,,,
358,Čiuļi pi Rāznys,108,22:11:22,0,,open,men,LAT,Ints,Brunenieks,LAT,Zigmunds,Fricsons,,,
359,J & J,104,18:59:28,0,,superveteran,men,POL,Janusz,Olbrycht,POL,Jacek,Lapanowski,,,
360,FST Novorossiysk,104,22:24:22,0,,veteran,mixed,RUS,Gennadi,Seluminov,RUS,Svetlana,Gladkova,,,
361,THE OVERLANDERS,104,23:08:02,0,,veteran,men,AUS,Phillip,Yates,AUS,Richard,Pinnock,,,
362,Velikij Novgorod DIALOG,104,23:35:23,0,,superveteran,men,RUS,Victor,Titov,RUS,Sergej,Jan,,,
363,Meridians JJ TOP,103,9:13:59,0,,open,men,LAT,Janis,Butans,LAT,Janis,Naglis,,,
364,Vāvere,103,22:51:27,0,,veteran,mixed,RUS,Irina,Kukueva,RUS,Valery,Evgrafov,,,
365,Maģiskās sēnes,103,23:38:59,0,,open,women,LAT,Evija,Grinmane,LAT,Gunita,Dravniece,,,
366,Värska Originaal Team,102,11:25:05,0,,veteran,men,EST,Indrek,Mahla,EST,Lauri,Kikerpill,,,
367,Aussies in London,102,22:43:51,0,,open,mixed,AUS,Amanda,Fung,AUS,Harley,Stewart,,,
368,Sinoles Sūtņi,102,23:47:31,0,,open,men,LAT,Edijs,Jundzis,LAT,Aldis,Sebris,,,
369,Piedzīvojumu meklētāji,101,23:07:02,0,,open,mixed,LAT,Ģirts,Goško,LAT,Kristīne,Jansone,,,
370,Meža ogas,101,23:48:20,0,,veteran,women,LAT,Sintija,Alaine,LAT,Vizbulīte,Celmiņa,,,
